ID,Year,Month,Day,Country,Region,City,UN,INGO,LNGO/NRCS,ICRC,IFRC,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Details,,,
108,2000,4,4,DR Congo,South Kivu,Uvira,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,Am,U,"1 INGO national staff shot and killed in Uvira, April 4.",,,
110,2000,4,15,Somalia,,Brava-Merca Road,0,2,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,2,0,0,2,U,Am,U,1 INGO national staff killed and 1 wounded in ambush in Brava-Merka Roa on April 15.,,,
113,2000,5,,Sierra Leone,Bonthe,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,K,U,U,I INGO international (British) staff kidnapped and released six weeks later.,,,
112,2000,5,,Angola,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,U,Am,R,1 UN national staff killed when convoy attacked.,,,
111,2000,5,,Afghanistan,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,AB,U,U,1 UN national staff killed in bombardment,,,
114,2000,5,3,Somalia,,Mogadishu,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,S,IA,U,"1 INGO national staff shot and killed in Mogadishu, May 3.",,,
116,2000,6,,Somalia,,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,BA,Am,U,1 international agency international (German) staff stabbed to death in car reportedly by deranged man.,,,
117,2000,6,,Iraq,,Baghdad,8,0,0,0,0,0,1,6,0,7,1,0,0,1,2,6,0,8,0,0,8,S,R,OC,"1 UN international staff killed, 1 national killed, and 6 nationals wounded by a gunman in two-hour standoff at UN Baghdad HQ.",,,
115,2000,6,10,Angola,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,U,U,"1 UN national staff killed in Angola, June 10.",,,
121,2000,7,,Somalia,,,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,K,U,U,2 INGO international staff kidnapped and held for two months by Osman Atto's militia.,,,
118,2000,7,,Somalia,,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,S,Am,R,"UN natl staff, Dr. Salad Osoble, shot and wounded on road to Mogadishu by bandits.",,,
119,2000,7,9,DR Congo,,,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,2,1,0,1,U,Am,U,1 INGO national and 1 international (Kenyan) wounded along with 3 other health workers (not counted here) in July 9 ambush that killed local health center director (also not counted here).,,,
120,2000,7,27,Colombia,,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,K,U,U,"1 INGO international (French)staff kidnapped, July 27.",,,
